brand type,km,ownerno,oem,model,modelyear,price,registration year,insurance validity,fuel type,seats,transmission,year of manufacture,displacement,no of cylinder,values per cylinder,turbo charger,super charger,length,width,height,gear box,drive type,steering type,turning radius,tyre type,no door numbers,city
suv,14037,1,jeep,jeep compass,2021,1802000,2021,comprehensive,petrol,5,manual,2021,1368,4,4,no,no,4405,1818,1640,6,4x2,power,5.7,tubeless radial,5,chennai
hatchback,29000,1,hyundai,hyundai i20,2019,745000,2019,comprehensive,petrol,5,manual,2019,1197,4,4,no,no,3985,1734,1505,5,fwd,power,5.2,tubeless radial,5,chennai
hatchback,69864,1,maruti,maruti baleno,2017,619000,2017,third party,petrol,5,manual,2017,1197,4,4,no,no,3995,1745,1510,5,fwd,power,4.9,tubeless radial,5,chennai
sedan,35739,1,hyundai,hyundai xcent,2019,650000,2019,third party,petrol,5,manual,2019,1197,4,4,no,no,3995,1660,1520,5,fwd,power,4.7,tubeless,4,chennai
hatchback,120000,2,honda,honda jazz,2016,500000,2016,third party,petrol,5,automatic,2016,1199,4,4,no,no,3955,1694,1544,5,fwd,power,5.1,tubeless radial,5,chennai
muv,18000,1,maruti,maruti ertiga,2019,1145000,2019,comprehensive,diesel,7,manual,2019,1248,4,4,yes,no,4296,1695,1685,5,fwd,power,5.2,tubeless radial,5,chennai
suv,21000,1,tata,tata harrier,2019,1600000,2019,comprehensive,diesel,5,manual,2019,1956,4,4,yes,no,4598,1894,1706,6,fwd,power,4.93,tubeless radial,5,chennai
hatchback,70404,1,maruti,maruti baleno,2016,540000,2016,comprehensive,petrol,5,manual,2016,1197,4,4,no,no,3995,1745,1510,5,fwd,power,4.9,tubeless radial,5,chennai
sedan,63000,1,volkswagen,volkswagen vento,2015,675000,2015,comprehensive,petrol,5,manual,2015,1598,4,4,no,no,4390,1699,1467,5,fwd,power,5.4,tubeless radial,4,chennai
sedan,88000,2,volkswagen,volkswagen ameo,2017,509999,2017,third party,petrol,5,manual,2017,1198,3,4,no,no,3995,1682,1483,5,fwd,power,5.11,tubeless radial,4,chennai
sedan,65000,1,honda,honda city,2017,830000,2017,comprehensive,petrol,5,manual,2017,1497,4,4,no,no,4440,1695,1495,5,fwd,power,5.3,tubeless radial,4,chennai
suv,30000,2,land rover,land rover discovery sport,2017,3900000,2017,third party,diesel,7,automatic,2017,2179,4,4,no,yes,4600,2173,1724,9,4wd,power,5.8,tubeless,5,chennai
sedan,71423,1,honda,honda city,2012,509999,2012,comprehensive,petrol,5,automatic,2012,1497,4,4,no,no,4440,1695,1485,5,fwd,power,5.3,tubeless radial,4,chennai
muv,80000,1,maruti,maruti xl6,2019,1200000,2019,third party,petrol,6,automatic,2019,1462,4,4,no,no,4445,1775,1700,4,fwd,power,5.2,tubeless radial,5,chennai
sedan,85759,1,honda,honda city,2017,766000,2017,third party,petrol,5,manual,2017,1497,4,4,no,no,4440,1695,1495,5,fwd,power,5.3,tubeless radial,4,chennai
hatchback,24422,1,hyundai,hyundai santro,2019,449000,2019,zero dep,petrol,5,manual,2019,1086,4,3,no,no,3610,1645,1560,5,fwd,power,5.01,tubeless radial,5,chennai
sedan,90000,4,hyundai,hyundai verna,2017,750000,2017,third party,petrol,5,manual,2017,1591,4,4,no,no,4440,1729,1475,6,fwd,power,5.01,tubeless,4,chennai
hatchback,67091,2,honda,honda brio,2012,317000,2012,third party,petrol,5,manual,2012,1198,4,4,no,no,3610,1680,1500,5,fwd,power,4.5,tubeless radial,5,chennai
suv,72787,1,mg,mg hector,2020,1560000,2020,third party,petrol,5,manual,2020,1451,4,4,yes,no,4655,1835,1760,6,fwd,manual,5.41,radial,5,chennai
