brand type,km,ownerno,oem,model,modelyear,price,registration year,insurance validity,fuel type,seats,transmission,year of manufacture,displacement,no of cylinder,values per cylinder,turbo charger,super charger,length,width,height,gear box,drive type,steering type,turning radius,tyre type,no door numbers,city
suv,40190,2,maruti,maruti vitara brezza,2018,736000,2018,comprehensive,diesel,5,manual,2018,1248,4,4,yes,no,3995,1790,1640,5,fwd,power,5.2,tubeless radial,5,delhi
suv,8000,1,audi,audi q7,2022,9100000,2022,comprehensive,petrol,7,automatic,2022,2995,6,4,yes,no,5064,1970,1703,5,awd,manual,6.19,radial,5,delhi
suv,80000,1,hyundai,hyundai creta,2016,766000,2016,comprehensive,diesel,5,automatic,2016,1582,4,4,yes,no,4270,1780,1630,6,fwd,power,5.3,tubeless,5,delhi
suv,46445,1,hyundai,hyundai creta,2016,859000,2016,comprehensive,petrol,5,manual,2016,1591,4,4,no,no,4270,1780,1630,6,fwd,power,5.3,tubeless,5,delhi
muv,6000,1,toyota,toyota innova crysta,2022,1910000,2022,comprehensive,petrol,7,manual,2022,2694,4,4,no,no,4735,1830,1795,5,rwd,power,5.4,tubeless radial,5,delhi
sedan,26000,1,bmw,bmw 6 series,2021,6900000,2021,third party,petrol,4,automatic,2021,1998,4,4,yes,no,5091,1902,1538,8,fwd,power,5.71,runflat,4,delhi
sedan,65083,1,maruti,maruti ciaz,2017,704000,2017,third party,petrol,5,manual,2017,1373,4,4,no,no,4490,1730,1485,5,fwd,power,5.4,tubeless radial,4,delhi
suv,150000,2,mercedes-benz,mercedes-benz m-class,2014,1751000,2014,comprehensive,diesel,5,automatic,2014,2987,6,4,yes,no,4817,2141,1762,7,awd,power,5.9,tubeless radial,5,delhi
sedan,5378,1,honda,honda city,2021,1443000,2021,zero dep,petrol,5,automatic,2021,1498,4,4,no,no,4549,1748,1489,c,fwd,electric,5.3,tubeless radial,4,delhi
sedan,63001,1,honda,honda city,2016,765000,2016,comprehensive,petrol,5,automatic,2016,1497,4,4,no,no,4440,1695,1495,5,fwd,power,5.3,tubeless radial,4,delhi
sedan,68000,2,audi,audi a4,2014,950000,2014,comprehensive,diesel,5,automatic,2014,1968,4,4,yes,no,4701,2040,1427,6,fwd,power,11.5,tubeless radial,4,delhi
muv,15000,1,renault,renault triber,2022,675000,2022,third party,petrol,7,manual,2022,999,3,4,no,no,3991,1739,1643,5,fwd,electric,4.98,tubeless radial,5,delhi
suv,106180,1,audi,audi q5,2017,2095000,2017,comprehensive,diesel,5,automatic,2017,2967,6,4,yes,no,4629,2089,1655,7,awd,power,5.8,tubeless radial,5,delhi
suv,68000,1,tata,tata harrier,2020,1400000,2020,comprehensive,diesel,5,manual,2020,1956,4,4,yes,no,4598,1894,1706,6,fwd,power,5.11,tubeless radial,5,delhi
suv,11000,1,hyundai,hyundai creta,2022,1975000,2022,comprehensive,petrol,5,automatic,2022,1397,4,4,yes,no,4300,1790,1635,7,fwd,power,5.02,tubeless radial,5,delhi
suv,24000,1,hyundai,hyundai creta,2021,1095000,2021,comprehensive,petrol,5,manual,2021,1497,4,4,no,no,4300,1790,1635,6,fwd,power,5.02,tubeless radial,5,delhi
sedan,55000,1,honda,honda city,2018,850000,2018,comprehensive,petrol,5,manual,2018,1497,4,4,no,no,4440,1695,1495,5,fwd,power,5.3,tubeless radial,4,delhi
suv,12010,1,mahindra,mahindra thar,2020,1485000,2020,comprehensive,diesel,4,manual,2020,2184,4,4,yes,no,3985,1855,1855,6,4x4,power,5.47,tubeless radial,3,delhi
hatchback,60665,1,maruti,maruti baleno,2020,621000,2020,third party,petrol,5,manual,2020,1197,4,4,no,no,3995,1745,1510,5,fwd,electric,4.9,tubeless radial,5,delhi
suv,10000,2,hyundai,hyundai creta,2021,1120000,2021,third party,petrol,5,manual,2021,1497,4,4,no,no,4300,1790,1635,6,fwd,power,5.02,tubeless radial,5,delhi
muv,82896,2,maruti,maruti ertiga,2012,727000,2012,third party,diesel,7,manual,2012,1248,4,4,yes,no,4265,1695,1685,5,fwd,power,5.2,tubeless radial,5,delhi
coupe,35000,2,mercedes-benz,mercedes-benz cls-class,2019,6500000,2019,comprehensive,diesel,5,automatic,2019,1950,4,4,yes,no,4988,1890,1435,7,rwd,power,6.59,tubeless radial,4,delhi
suv,1000,1,maruti,maruti jimny,2023,1725000,2023,comprehensive,petrol,4,automatic,2023,1462,4,4,no,no,3985,1645,1720,4,awd,electric,5.7,tubeless radial,5,delhi
sedan,57463,1,honda,honda city,2015,622000,2015,comprehensive,petrol,5,manual,2015,1497,4,4,no,no,4440,1695,1495,5,fwd,power,5.3,tubeless radial,4,delhi
suv,3100,1,hyundai,hyundai creta,2023,1310000,2023,comprehensive,petrol,5,manual,2023,1497,4,4,no,no,4300,1790,1635,6,fwd,power,5.02,tubeless radial,5,delhi
suv,25000,2,volvo,volvo xc60,2020,5200000,2020,comprehensive,diesel,5,automatic,2020,2400,5,4,yes,no,4644,2120,1713,6,awd,power,5.8,tubeless radial,5,delhi
suv,58716,1,ford,ford ecosport,2016,625000,2016,zero dep,petrol,5,manual,2016,1499,4,4,no,no,3999,1765,1708,5,fwd,power,5.3,tubeless radial,5,delhi
hatchback,27000,1,hyundai,hyundai i20,2021,725000,2021,comprehensive,petrol,5,manual,2021,1197,4,4,no,no,3995,1775,1505,5,fwd,electric,5.02,tubeless radial,5,delhi
hatchback,51017,1,maruti,maruti baleno,2017,532000,2017,comprehensive,petrol,5,manual,2017,1197,4,4,no,no,3995,1745,1510,5,fwd,power,4.9,tubeless radial,5,delhi
hatchback,25000,1,mini,mini cooper clubman,2020,4300000,2021,comprehensive,petrol,5,automatic,2020,1998,4,4,yes,no,4253,1800,1441,8,awd,power,6.0,tubeless radial,6,delhi
suv,33000,2,land rover,land rover discovery,2017,3645000,2017,third party,petrol,7,automatic,2017,1999,4,4,yes,no,4988,2220,1888,8,awd,power,6.7,radial,5,delhi
hatchback,17000,1,maruti,maruti baleno,2022,710000,2022,comprehensive,petrol,5,manual,2022,1197,4,4,no,no,3990,1745,1500,5,fwd,electric,4.85,tubeless radial,5,delhi
suv,95000,1,toyota,toyota fortuner,2014,1390000,2014,comprehensive,diesel,7,automatic,2014,2982,4,4,yes,no,4705,1840,1850,5,fwd,power,5.6,tubeless radial,5,delhi
suv,15000,2,mercedes-benz,mercedes-benz gle,2020,7600000,2020,comprehensive,diesel,5,automatic,2020,1950,4,4,yes,no,4924,2157,1772,9,awd,power,5.9,tubeless radial,5,delhi
sedan,49000,1,maruti,maruti ciaz,2016,690000,2016,comprehensive,petrol,5,automatic,2016,1373,4,4,no,no,4490,1730,1485,4,fwd,power,5.4,tubeless radial,4,delhi
sedan,34000,2,audi,audi a4,2015,2000000,2015,third party,petrol,5,automatic,2015,1798,4,4,yes,no,4701,2040,1427,8,fwd,power,5.8,tubeless radial,4,delhi
sedan,70000,1,maruti,maruti swift dzire,2013,350000,2013,comprehensive,petrol,5,manual,2013,1197,4,4,no,no,3995,1695,1555,5,fwd,power,4.8,tubeless radial,4,delhi
suv,29100,1,kia,kia sonet,2020,1145000,2020,comprehensive,petrol,5,manual,2020,998,3,4,yes,no,3995,1790,1642,6,fwd,electric,5.48,tubeless radial,5,delhi
sedan,57116,1,tata,tata tigor,2018,518000,2018,zero dep,petrol,5,manual,2018,1199,3,4,no,no,3992,1677,1537,5,fwd,power,5.11,tubeless radial,4,delhi
hatchback,56000,1,hyundai,hyundai eon,2016,261000,2016,comprehensive,petrol,5,manual,2016,814,3,3,no,no,3495,1550,1500,5,fwd,power,4.6,tubeless,5,delhi
suv,9343,1,honda,honda wr-v,2021,866000,2021,third party,petrol,5,manual,2021,1199,4,4,no,no,3999,1734,1601,5,fwd,electric,5.3,tubeless radial,5,delhi
sedan,15000,2,audi,audi a6,2021,5100000,2021,comprehensive,petrol,5,automatic,2021,1984,4,4,yes,no,4939,2110,1470,7,fwd,power,5.95,tubeless radial,4,delhi
suv,13000,1,toyota,toyota fortuner,2022,3850000,2022,comprehensive,diesel,7,manual,2022,2755,4,4,yes,no,4795,1855,1835,6,2wd,manual,5.8,tubeless radial,5,delhi
suv,90347,2,hyundai,hyundai creta,2017,944000,2017,third party,petrol,5,automatic,2017,1591,4,4,no,no,4270,1780,1630,6,fwd,power,5.3,tubeless,5,delhi
sedan,36000,1,mercedes-benz,mercedes-benz s-class,2021,8900000,2021,comprehensive,diesel,5,automatic,2021,2925,6,4,yes,no,5255,1760,1494,9,rwd,power,6.15,tubeless radial,4,delhi
suv,60000,1,bmw,bmw x1,2017,2125000,2017,comprehensive,diesel,5,automatic,2017,1995,4,4,yes,no,4477,2058,1545,8,rwd,power,5.8,tubeless radial,5,delhi
sedan,64668,1,ford,ford aspire,2019,518000,2019,zero dep,petrol,5,manual,2019,1194,3,4,no,no,3995,1704,1525,5,fwd,power,4.9,tubeless,4,delhi
suv,7800,0,mg,mg gloster,2023,4500000,2023,comprehensive,diesel,6,automatic,2023,1996,4,4,twin,no,4985,1926,1867,8,4x4,electric,5.48,tubeless radial,5,delhi
sedan,87313,1,honda,honda city,2014,574000,2014,comprehensive,petrol,5,manual,2014,1497,4,4,no,no,4440,1695,1495,5,fwd,power,5.3,tubeless radial,4,delhi
suv,60000,2,volvo,volvo xc60,2018,3800000,2018,comprehensive,diesel,5,automatic,2018,1984,5,4,yes,no,4644,2120,1713,8,fwd,power,5.8,tubeless radial,5,delhi
hatchback,39000,1,honda,honda jazz,2015,449000,2015,comprehensive,petrol,5,manual,2015,1199,4,4,no,no,3955,1694,1544,5,fwd,power,5.1,tubeless radial,5,delhi
suv,18000,1,mg,mg hector plus,2021,1925000,2021,comprehensive,petrol,6,automatic,2021,1451,4,4,yes,no,4720,1835,1760,6,fwd,manual,5.48,tubeless radial,5,delhi
suv,18000,2,land rover,land rover discovery sport,2020,5650000,2020,comprehensive,diesel,7,automatic,2020,1999,4,4,yes,no,4600,2173,1724,9,4wd,power,5.8,tubeless,5,delhi
suv,11000,1,lexus,lexus rx,2016,6600000,2016,comprehensive,petrol,5,automatic,2016,3456,6,4,no,no,4890,1895,1685,8,awd,power,5.9,tubeless radial,5,delhi
suv,30000,1,jeep,jeep wrangler,2021,6200000,2021,comprehensive,petrol,5,automatic,2021,1998,4,4,yes,no,4882,1894,1848,8,4wd,power,5.48,tubeless mud terrain,5,delhi
suv,8000,1,mercedes-benz,mercedes-benz gla class,2018,2700000,2018,comprehensive,diesel,5,automatic,2018,2143,4,4,yes,no,4424,1804,1494,7,2wd,power,5.92,tubeless radial,5,delhi
sedan,57000,1,mercedes-benz,mercedes-benz e-class,2017,4050000,2017,comprehensive,petrol,5,automatic,2017,1991,4,4,yes,no,5063,1860,1494,9,rwd,electric,6.0,tubeless radial,4,delhi
suv,89500,2,audi,audi q7,2016,3600000,2016,comprehensive,diesel,7,automatic,2016,2967,4,4,yes,no,5052,2212,1740,8,awd,power,6.2,tubeless radial,5,delhi
suv,27684,2,honda,honda wr-v,2017,719000,2017,third party,petrol,5,manual,2017,1199,4,4,no,no,3999,1734,1601,5,fwd,electric,5.3,tubeless radial,5,delhi
sedan,22000,1,mercedes-benz,mercedes-benz c-class,2017,3300000,2017,comprehensive,petrol,5,automatic,2017,1991,4,4,yes,no,4686,2020,1442,9,rwd,power,5.61,tubeless radial,4,delhi
hatchback,71566,1,ford,ford figo,2019,507000,2019,comprehensive,petrol,5,manual,2019,1194,3,4,no,no,3941,1704,1525,5,fwd,power,4.9,tubeless,5,delhi
suv,75000,2,audi,audi q7,2016,3995000,2016,third party,diesel,7,automatic,2016,2967,4,4,yes,no,5052,2212,1740,8,awd,power,6.2,tubeless radial,5,delhi
sedan,58000,2,mercedes-benz,mercedes-benz cls-class,2017,2600000,2017,comprehensive,diesel,4,automatic,2017,2143,4,4,yes,no,4940,2075,1416,7,rwd,power,5.59,tubeless radial,4,delhi
sedan,75455,2,honda,honda city,2015,665000,2015,third party,petrol,5,automatic,2015,1497,4,4,no,no,4440,1695,1495,5,fwd,power,5.3,tubeless radial,4,delhi
suv,10000,1,mg,mg astor,2022,1500000,2022,comprehensive,petrol,5,automatic,2022,1498,4,4,no,no,4323,1809,1650,8,fwd,electronic,5.48,tubeless radial,5,delhi
suv,80000,1,ford,ford endeavour,2017,2349000,2017,third party,diesel,7,automatic,2017,3198,4,4,yes,no,4892,1860,1837,6,4wd,power,5.22,tubeless radial,5,delhi
suv,85031,1,hyundai,hyundai creta,2018,1052000,2019,comprehensive,petrol,5,automatic,2018,1591,4,4,no,no,4270,1780,1665,6,fwd,power,5.3,tubeless,5,delhi
suv,22000,1,land rover,land rover range rover evoque,2021,6700000,2021,comprehensive,diesel,5,automatic,2021,1997,4,4,yes,no,4371,2100,1649,9,awd,power,11.6,tubeless radial,5,delhi
suv,37527,1,ford,ford ecosport,2020,930000,2020,zero dep,diesel,5,manual,2020,1498,4,4,yes,no,3998,1765,1647,5,fwd,electric,5.3,tubeless radial,5,delhi
suv,80000,1,maruti,maruti vitara brezza,2019,850000,2019,comprehensive,diesel,5,manual,2019,1248,4,4,yes,no,3995,1790,1640,5,fwd,power,5.2,tubeless radial,5,delhi
sedan,14000,1,mercedes-benz,mercedes-benz amg a 35,2022,5100000,2022,comprehensive,petrol,5,automatic,2022,1991,4,4,yes,no,4559,1992,1411,a,awd,electric,6.59,tubeless radial,4,delhi
suv,40000,1,mahindra,mahindra xuv500,2018,1300000,2018,third party,diesel,7,automatic,2018,2179,4,4,yes,no,4585,1890,1785,6,fwd,power,5.6,tubeless,5,delhi
hatchback,10000,1,toyota,toyota glanza,2020,625000,2020,third party,petrol,5,manual,2020,1197,4,4,no,no,3995,1745,1510,5,fwd,electric,4.9,radial,5,delhi
suv,50000,1,porsche,porsche cayenne,2016,5600000,2016,comprehensive,diesel,5,automatic,2016,2967,6,4,yes,no,4855,1939,1705,8,awd,power,5.5,tubeless radial,5,delhi
suv,65000,2,bmw,bmw x1,2017,1950000,2017,third party,diesel,5,automatic,2017,1995,4,4,yes,no,4439,1821,1612,8,fwd,power,5.8,runflat,5,delhi
suv,72011,1,audi,audi q3,2015,1499000,2015,comprehensive,diesel,5,automatic,2015,1968,4,4,yes,no,4388,1831,1608,7,awd,power,5.9,tubeless radial,5,delhi
suv,40011,1,jeep,jeep compass,2021,2450000,2021,comprehensive,diesel,5,automatic,2021,1956,4,4,no,no,4405,1818,1640,9,4x4,power,5.48,tubeless radial,5,delhi
muv,85000,1,maruti,maruti ertiga,2016,735000,2016,comprehensive,petrol,7,manual,2016,1462,4,4,no,no,4395,1735,1690,5,2wd,power,5.2,tubeless radial,5,delhi
suv,36206,2,ford,ford ecosport,2018,726000,2018,zero dep,petrol,5,manual,2018,1497,3,4,no,no,3998,1765,1647,5,fwd,power,5.3,tubeless radial,4,delhi
muv,48011,1,toyota,toyota innova crysta,2017,1650000,2017,comprehensive,diesel,8,manual,2017,2393,7,4,yes,no,4735,1830,1795,5,rwd,power,5.4,tubeless radial,5,delhi
hatchback,86919,2,maruti,maruti baleno,2019,688000,2019,comprehensive,petrol,5,manual,2019,1197,4,4,no,no,3995,1745,1510,5,fwd,power,4.9,tubeless radial,5,delhi
suv,4000,1,mercedes-benz,mercedes-benz amg g 63,2022,39500000,2022,comprehensive,petrol,5,automatic,2022,3982,8,4,yes,no,4160,1760,1585,s,4wd,power,13.51,radial,5,delhi
sedan,69650,2,honda,honda amaze,2014,365000,2014,comprehensive,cng,5,manual,2014,1198,4,4,no,no,3990,1680,1505,5,fwd,power,4.5,tubeless radial,4,delhi
sedan,41051,1,volkswagen,volkswagen ameo,2018,627000,2018,third party,petrol,5,manual,2018,999,3,4,no,no,3995,1682,1483,5,fwd,power,5.4,tubeless radial,4,delhi
muv,52011,1,toyota,toyota innova crysta,2019,1798999,2019,comprehensive,diesel,7,automatic,2019,2755,4,4,yes,no,4735,1830,1795,6,rwd,power,5.4,tubeless radial,5,delhi
hatchback,52439,1,hyundai,hyundai i10,2013,335000,2013,comprehensive,petrol,5,manual,2013,1086,4,3,no,no,3585,1595,1550,5,fwd,power,4.7,tubeless,5,delhi
sedan,82347,2,maruti,maruti ciaz,2014,528000,2014,comprehensive,petrol,5,automatic,2014,1373,4,4,no,no,4490,1730,1485,4,fwd,power,5.4,tubeless radial,4,delhi
suv,52001,2,audi,audi q7,2014,1898999,2014,comprehensive,diesel,7,automatic,2014,2967,6,4,yes,no,5089,2177,1737,8,awd,power,6.0,tubeless radial,5,delhi
sedan,97249,1,maruti,maruti ciaz,2014,511000,2014,third party,petrol,5,manual,2014,1373,4,4,no,no,4490,1730,1485,5,fwd,power,5.4,tubeless radial,4,delhi
suv,11800,1,audi,audi q7,2023,9300000,2023,comprehensive,petrol,7,automatic,2023,2995,6,4,yes,no,5064,2212,1703,5,awd,manual,6.19,radial,5,delhi
suv,5700,1,tata,tata new safari,2022,2099000,2022,comprehensive,diesel,6,manual,2022,1956,4,4,yes,no,4661,1894,1786,6,fwd,power,5.11,tubeless radial,5,delhi
suv,52011,1,tata,tata new safari,2021,1950000,2021,comprehensive,diesel,7,automatic,2021,1956,4,4,yes,no,4661,1894,1786,6,fwd,power,5.11,tubeless radial,5,delhi
suv,52368,1,maruti,maruti vitara brezza,2018,849000,2018,third party,diesel,5,manual,2018,1248,4,4,yes,no,3995,1790,1640,5,fwd,power,5.2,tubeless radial,5,delhi
suv,33500,1,mercedes-benz,mercedes-benz gle,2020,7950000,2020,comprehensive,diesel,5,automatic,2020,1950,4,4,yes,no,4924,2157,1772,9,awd,power,5.9,tubeless radial,5,delhi
sedan,80000,1,honda,honda amaze,2020,500000,2020,third party,petrol,5,manual,2020,1199,4,4,no,no,3995,1695,1498,5,fwd,electric,4.7,tubeless radial,4,delhi
suv,85162,2,honda,honda wr-v,2017,525000,2017,third party,diesel,5,manual,2017,1498,4,4,yes,no,3999,1734,1601,6,fwd,electric,5.3,tubeless radial,5,delhi
muv,83863,1,maruti,maruti ertiga,2017,775000,2017,third party,petrol,7,automatic,2017,1373,4,4,no,no,4296,1695,1685,4,fwd,power,5.2,tubeless radial,5,delhi
suv,9500,1,bmw,bmw x7,2019,11000000,2019,comprehensive,petrol,7,automatic,2019,2998,6,4,twin,no,5150,2218,1805,8,awd,power,5.71,tubeless runflat,5,delhi
hatchback,62526,1,honda,honda jazz,2016,486000,2016,zero dep,petrol,5,manual,2016,1199,4,4,no,no,3955,1694,1544,5,fwd,power,5.1,tubeless radial,5,delhi
hatchback,40000,1,maruti,maruti swift,2018,450000,2018,third party,petrol,5,manual,2018,1197,4,4,no,no,3840,1735,1530,5,fwd,power,4.85,tubeless,5,delhi
suv,35331,1,renault,renault duster,2019,989000,2019,zero dep,diesel,5,manual,2019,1461,4,4,no,no,4360,1822,1695,6,fwd,power,5.2,radial,5,delhi
suv,40000,1,land rover,land rover discovery sport,2020,5550000,2020,comprehensive,diesel,7,automatic,2020,1999,4,4,yes,no,4600,2173,1724,9,4wd,power,5.8,tubeless,5,delhi
suv,10000,1,audi,audi q3 sportback,2023,5100000,2023,third party,petrol,5,automatic,2023,1984,4,4,no,no,4518,2022,1558,7,awd,electric,6.19,tubeless radial,5,delhi
hatchback,14893,1,hyundai,hyundai santro,2019,526000,2020,zero dep,petrol,5,manual,2019,1086,4,3,no,no,3610,1645,1560,5,fwd,power,5.02,tubeless radial,5,delhi
hatchback,110000,2,maruti,maruti wagon r,2011,170000,2011,third party,petrol,5,manual,2011,998,3,4,no,no,3595,1475,1700,5,fwd,power,4.6,tubeless radial,4,delhi
sedan,7900,1,mercedes-benz,mercedes-benz s-class,2021,15500000,2023,comprehensive,diesel,5,automatic,2021,2925,6,4,yes,no,5255,1760,1494,9,rwd,power,6.15,tubeless radial,4,delhi
hatchback,55215,1,hyundai,hyundai grand i10,2016,434000,2016,zero dep,petrol,5,manual,2016,1197,4,4,no,no,3765,1660,1520,5,fwd,power,4.8,tubeless,5,delhi
sedan,100000,1,honda,honda city,2014,300000,2014,third party,petrol,5,manual,2014,1497,4,4,no,no,4440,1695,1495,5,fwd,power,5.3,tubeless radial,4,delhi
sedan,49930,1,hyundai,hyundai verna,2021,1103000,2021,third party,diesel,5,manual,2021,1493,4,4,yes,no,4440,1729,1475,6,fwd,electric,5.02,tubeless radial,4,delhi
suv,54000,1,maruti,maruti vitara brezza,2017,645000,2017,third party,diesel,5,manual,2017,1248,4,4,yes,no,3995,1790,1640,5,fwd,power,5.2,tubeless radial,5,delhi
sedan,1200,1,mercedes-benz,mercedes-benz amg a 35,2021,5150000,2021,third party,petrol,5,automatic,2021,1991,4,4,yes,no,4559,1992,1411,a,awd,electric,6.59,tubeless radial,4,delhi
suv,7000,1,audi,audi q2,2020,2790000,2020,third party,petrol,5,automatic,2020,1984,4,4,yes,no,4318,1805,1548,7,awd,power,6.19,radial,5,delhi
muv,40000,1,maruti,maruti ertiga,2021,1100000,2021,third party,cng,7,manual,2021,1462,4,4,no,no,4395,1735,1690,5,fwd,power,5.2,tubeless radial,5,delhi
suv,83000,3,mercedes-benz,mercedes-benz m-class,2014,1570000,2014,comprehensive,diesel,5,automatic,2014,2143,4,4,yes,no,4817,2141,1762,7,awd,power,5.9,tubeless radial,5,delhi
hatchback,60000,2,hyundai,hyundai i10,2011,130000,2011,third party,petrol,5,manual,2011,1197,4,4,no,no,3585,1595,1550,5,fwd,power,5.02,tubeless radial,4,delhi
sedan,100000,1,maruti,maruti swift dzire tour,2018,300000,2018,third party,cng,5,manual,2018,1197,4,4,no,no,3995,1695,1555,5,fwd,power,4.8,tubeless radial,4,delhi
hatchback,60000,2,hyundai,hyundai i10,2009,85000,2009,third party,petrol,5,manual,2009,1197,4,4,no,no,3585,1595,1550,5,fwd,power,5.02,tubeless radial,4,delhi
suv,25000,1,volvo,volvo xc40,2020,3750000,2020,comprehensive,petrol,5,automatic,2020,1969,4,4,no,no,4425,2034,1652,8,fwd,power,5.8,tubeless radial,5,delhi
sedan,67593,1,honda,honda amaze,2015,422000,2015,third party,petrol,5,manual,2015,1198,4,4,no,no,3990,1680,1505,5,fwd,power,4.5,tubeless radial,4,delhi
suv,50000,1,hyundai,hyundai creta,2020,1500000,2020,third party,diesel,5,automatic,2020,1493,4,4,yes,no,4300,1790,1635,6,fwd,power,5.02,tubeless radial,5,delhi
hatchback,88882,1,maruti,maruti baleno,2016,495000,2016,comprehensive,petrol,5,manual,2016,1197,4,4,no,no,3995,1745,1510,5,fwd,power,4.9,tubeless radial,5,delhi
sedan,78986,1,toyota,toyota corolla altis,2016,815000,2016,comprehensive,petrol,5,manual,2016,1798,4,4,no,no,4620,1776,1475,6,fwd,power,5.4,tubeless radial,4,delhi
sedan,100000,1,maruti,maruti swift dzire,2014,215000,2014,third party,diesel,5,manual,2014,1248,4,4,yes,no,3995,1695,1555,5,fwd,power,4.8,tubeless radial,4,delhi
hatchback,24727,2,hyundai,hyundai i20 active,2015,501999,2015,comprehensive,petrol,5,manual,2015,1197,4,4,no,no,3995,1760,1555,5,fwd,power,5.2,tubeless radial,5,delhi
suv,70000,3,audi,audi q3,2014,800000,2014,third party,diesel,5,automatic,2014,1968,4,4,yes,no,4385,2019,1608,7,awd,power,5.9,tubeless radial,5,delhi
sedan,34000,1,mercedes-benz,mercedes-benz s-class,2019,15900000,2019,comprehensive,petrol,4,automatic,2019,3982,8,4,yes,no,5462,2130,1498,9,awd,power,6.45,tubeless radial,4,delhi
hatchback,79328,1,honda,honda jazz,2017,565000,2017,comprehensive,petrol,5,automatic,2017,1199,4,4,no,no,3955,1694,1544,5,fwd,power,5.1,tubeless radial,5,delhi
hatchback,50000,1,maruti,maruti alto k10,2017,280000,2017,third party,petrol,5,manual,2017,998,3,4,no,no,3545,1515,1475,5,fwd,power,4.6,tubeless radial,5,delhi
hatchback,62113,2,maruti,maruti baleno,2017,524000,2017,third party,petrol,5,manual,2017,1197,4,4,no,no,3995,1745,1510,5,fwd,power,4.9,tubeless radial,5,delhi
suv,2300,1,hyundai,hyundai creta,2023,1650000,2023,comprehensive,petrol,5,manual,2023,1497,4,4,no,no,4300,1790,1635,6,fwd,power,5.02,tubeless radial,5,delhi
sedan,120000,3,toyota,toyota corolla altis,2013,450000,2013,third party,petrol,5,automatic,2013,1794,4,4,no,no,4620,1776,1475,7,fwd,power,5.3,tubeless radial,4,delhi
hatchback,120000,2,tata,tata tiago,2018,315000,2018,third party,diesel,5,manual,2018,1047,3,4,yes,no,3746,1647,1535,5,fwd,power,4.9,tubeless,5,delhi
sedan,120000,3,toyota,toyota corolla altis,2013,450000,2013,third party,petrol,5,automatic,2013,1794,4,4,no,no,4620,1776,1475,7,fwd,power,5.3,tubeless radial,4,delhi
suv,5000,1,volvo,volvo xc40,2022,4400000,2022,comprehensive,petrol,5,automatic,2022,1969,4,4,no,no,4425,2034,1652,8,fwd,power,5.8,tubeless radial,5,delhi
suv,10000,2,hyundai,hyundai creta,2021,1120000,2021,third party,petrol,5,manual,2021,1497,4,4,no,no,4300,1790,1635,6,fwd,power,5.02,tubeless radial,5,delhi
sedan,60000,2,hyundai,hyundai verna,2018,750000,2018,third party,petrol,5,manual,2018,1591,4,4,no,no,4440,1729,1475,6,fwd,power,5.02,tubeless,4,delhi
hatchback,30000,1,maruti,maruti baleno,2021,635000,2021,third party,petrol,5,manual,2021,1197,4,4,no,no,3995,1745,1510,5,fwd,electric,4.9,tubeless radial,5,delhi
suv,67000,1,jeep,jeep compass,2018,1110000,2018,comprehensive,diesel,5,manual,2018,1956,4,4,yes,no,4395,1818,1640,6,4x2,power,5.48,tubeless radial,5,delhi
hatchback,86183,1,hyundai,hyundai grand i10,2016,450000,2017,zero dep,petrol,5,manual,2016,1197,4,4,no,no,3765,1660,1520,5,fwd,power,4.8,tubeless,5,delhi
sedan,70000,1,toyota,toyota etios,2013,260000,2013,third party,diesel,5,manual,2013,1364,4,2,yes,no,4265,1695,1510,5,fwd,power,4.9,tubeless radial,4,delhi
hatchback,88991,1,maruti,maruti swift,2013,346000,2013,third party,petrol,5,manual,2013,1197,4,4,no,no,3845,1735,1530,5,fwd,electric,4.8,tubeless radial,5,delhi
suv,18000,2,bmw,bmw x4,2019,5260000,2019,comprehensive,diesel,5,automatic,2019,1995,4,4,twin,no,4752,1918,1621,8,4wd,power,5.71,tubeless runflat,5,delhi
suv,55000,1,jeep,jeep compass,2019,1475000,2019,comprehensive,petrol,5,automatic,2019,1368,4,4,yes,no,4395,1818,1640,7,4x2,power,5.48,tubeless radial,5,delhi
hatchback,62657,1,maruti,maruti s-presso,2021,479000,2021,third party,cng,4,manual,2021,998,3,4,no,no,3565,1520,1564,5,fwd,power,4.5,tubeless radial,5,delhi
hatchback,16452,1,renault,renault kwid,2017,300000,2017,comprehensive,petrol,5,automatic,2017,999,3,4,no,no,3679,1579,1478,5,fwd,power,4.9,tubeless radial,5,delhi
sedan,40000,2,mercedes-benz,mercedes-benz cla,2017,2475000,2017,comprehensive,petrol,5,automatic,2017,1991,4,4,yes,no,4630,1777,1432,7,fwd,power,5.5,tubeless radial,4,delhi
hatchback,31029,1,tata,tata tiago,2022,740000,2022,zero dep,cng,5,manual,2022,1199,3,4,no,no,3765,1677,1535,5,fwd,electric,5.11,tubeless radial,5,delhi
hatchback,40000,2,maruti,maruti swift,2018,450000,2018,third party,petrol,5,manual,2018,1197,4,4,no,no,3840,1735,1530,5,fwd,power,4.85,tubeless,5,delhi
hatchback,46724,2,hyundai,hyundai i20,2014,403000,2014,comprehensive,petrol,5,manual,2014,1197,4,4,no,no,3995,1710,1505,5,fwd,power,5.02,tubeless radial,5,delhi
sedan,86000,1,mercedes-benz,mercedes-benz c-class,2011,750000,2011,third party,petrol,5,automatic,2011,1991,4,4,yes,no,4686,2020,1442,9,rwd,power,5.61,tubeless radial,4,delhi
